Χρονική σήμανση,Gender,Age,Education,"Frequency of chatbot use (e.g. ChatGPT, DeepSeek)",I am pleased with using the chatbot.,"I am satisfied with the consultation experience of using the chatbot (e.g. quality of feedback, provided ideas and recommendations).",I am satisfied with my overall experience using the chatbot.,I would recommend that others use the chatbot.,I find the chatbot trustworthy.,I can trust the information presented by the chatbot.,I value the trustworthy characteristics of the chatbot.,I feel happy after using the chatbot.,I have a warm feeling after using the chatbot.,I am being pleasured after using the chatbot.,The chatbot makes me enjoyed.,The chatbot makes me feel relaxed.,I would recommend that my friends and relatives use the chatbot in the future.,I intend to be proud to say to others that I am this chatbot's user.,I intend to mostly say positive things about this chatbot to others.,I speak of this chatbot’s positive experience to others.,I am proud to say to others that I am this chatbot’s user on a social media platform.,I intend to continue using the chatbot.,I predict that I will use the chatbot again in the future.,The chatbot has the functionality I need.,The chatbot has the features required for my tasks.,The chatbot has the ability to do what I want it to do.,The chatbot is very reliable.,The chatbot does not fail me.,The chatbot is extremely dependable.,The chatbot is truthful in its dealings with me.,The chatbot is honest.,The chatbot is competent and effective in providing feedback and recommendations.,The chatbot performs its role of start-up consultant very well.,The chatbot is a capable and proficient consultant.,The chatbot acts in my best interest.,The chatbot does its best to help me with my start-up.,The chatbot is interested in my well-being.
5/18/2025 10:24:13,Female,18-24,University,Several times a day,2,1,2,1,5,4,3,3,1,2,1,2,1,1,2,3,1,1,2,3,2,3,4,3,3,7,7,3,1,1,1,1,1
5/18/2025 11:15:54,Female,18-24,University,Less than once a month,4,5,5,5,5,4,4,4,4,4,4,3,4,3,5,5,3,3,4,4,4,5,5,5,4,6,6,6,5,4,5,6,4
5/18/2025 11:44:57,Female,18-24,High School,Less than once a month,5,7,6,5,6,6,6,5,5,5,3,5,5,5,5,5,3,3,5,6,5,6,6,4,5,5,5,7,6,6,5,5,3
5/18/2025 15:10:41,Male,18-24,University,Nearly everyday,5,6,4,5,7,7,7,4,3,4,4,3,6,5,5,5,5,6,5,6,7,7,6,6,5,7,7,6,5,5,4,6,4
5/18/2025 17:16:11,Female,18-24,University,Nearly everyday,6,6,6,6,6,5,5,5,4,4,4,3,5,4,5,5,2,2,5,5,5,6,5,6,3,5,5,5,5,5,5,5,4
5/18/2025 20:10:53,Male,18-24,University,Several times a day,6,6,6,6,6,6,6,5,5,6,6,5,6,6,6,6,5,5,5,6,6,6,4,5,5,5,6,6,6,3,6,5,5
5/18/2025 20:14:54,Female,18-24,Post-graduate Studies,Several times a day,4,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,5,5,1,2,3,4,2,3
5/18/2025 21:07:17,Female,18-24,University,Nearly everyday,3,5,3,2,4,3,4,1,1,2,2,2,1,2,2,2,1,1,1,3,4,4,3,3,3,4,6,3,4,4,5,3,1
5/18/2025 22:20:49,Male,18-24,University,Nearly everyday,6,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,4,7,4,7,7,6,7,6,7,7,7,7,7,7,7,7,4
5/18/2025 22:50:55,Male,18-24,University,At least once a week,7,6,6,5,6,5,6,6,5,5,5,6,6,6,6,5,1,3,4,5,3,5,3,5,4,6,6,6,5,5,6,7,4
5/18/2025 23:05:29,Female,18-24,University,Nearly everyday,4,5,5,5,4,5,4,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,3,4,4,5,4,4,4,4,5
5/18/2025 23:41:34,Male,25-34,Post-graduate Studies,At least once a week,6,6,6,7,7,6,6,7,5,4,4,6,6,4,5,6,4,7,7,7,6,6,5,5,4,6,5,6,4,3,5,5,2
5/19/2025 17:04:28,Female,18-24,University,Several times a day,3,3,4,3,3,6,5,5,5,5,2,2,2,1,1,1,2,3,1,2,3,2,5,3,4,4,6,5,4,2,5,2,2
5/19/2025 17:10:10,Male,18-24,University,Nearly everyday,4,4,4,5,5,5,5,5,5,5,4,4,5,4,4,4,6,5,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5
5/19/2025 17:35:32,Female,18-24,University,At least once a week,4,5,5,5,4,3,4,4,3,5,4,3,4,3,5,5,3,4,5,4,5,3,3,3,4,4,4,5,3,4,2,4,3
5/19/2025 18:42:21,Female,18-24,University,At least once a week,2,2,3,2,3,2,2,3,1,1,1,1,4,1,1,1,1,1,1,1,7,7,3,2,2,4,7,4,2,2,3,2,1
5/19/2025 19:03:31,Male,25-34,University,Several times a day,5,5,6,7,4,3,4,4,4,4,4,5,7,4,6,4,3,5,5,6,4,3,4,3,4,5,5,4,4,4,3,2,1
5/19/2025 19:31:51,Male,18-24,University,Less than once a month,4,3,6,2,3,5,4,4,1,2,2,4,3,2,3,3,3,2,1,2,2,3,5,4,3,4,3,6,6,5,6,4,2
5/19/2025 20:11:05,Female,18-24,Post-graduate Studies,Never,4,3,2,5,6,5,5,2,2,2,2,2,6,4,4,4,4,4,4,5,5,5,4,4,5,4,5,4,5,5,4,5,3
5/19/2025 20:40:56,Male,18-24,University,At least once a week,5,4,4,5,4,4,4,3,1,1,1,3,4,1,4,4,1,2,2,4,5,4,4,4,3,4,4,5,4,4,3,5,3
5/19/2025 21:57:31,Female,18-24,Post-graduate Studies,Nearly everyday,5,5,5,5,5,5,6,5,3,4,4,3,5,4,5,5,2,5,7,6,5,4,3,4,4,4,5,5,5,4,4,5,3
5/20/2025 0:51:52,Female,35-49,University,Less than once a month,4,4,4,3,6,6,6,3,1,1,2,2,3,3,3,1,1,3,4,2,2,2,5,2,6,6,6,2,2,2,2,2,1
5/21/2025 13:19:22,Male,18-24,University,Several times a day,6,7,7,6,6,7,6,7,6,7,6,6,6,7,6,6,6,5,4,6,6,5,6,6,6,6,5,6,6,6,7,7,7
5/22/2025 9:37:44,Female,50+,High School,Nearly everyday,4,3,3,3,3,5,4,2,2,2,2,2,3,4,2,3,2,4,7,3,3,3,2,2,2,4,4,2,3,3,3,3,3
5/22/2025 9:52:51,Female,50+,High School,At least once a week,4,4,4,4,4,3,4,3,3,3,3,3,4,3,4,3,3,4,5,4,5,5,4,4,3,5,4,4,5,5,4,5,4
5/22/2025 10:01:20,Male,35-49,Post-graduate Studies,Nearly everyday,5,5,5,5,3,3,3,5,5,5,5,5,5,5,4,4,3,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5
5/22/2025 10:06:02,Male,35-49,Post-graduate Studies,Nearly everyday,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,6,4,6,4,6,4,6,4,3,5,4,5,5,5,5,5,5
5/22/2025 14:20:05,Female,35-49,Post-graduate Studies,Several times a day,5,4,5,6,4,3,3,4,4,4,4,4,6,4,5,5,4,7,7,4,4,4,3,2,2,4,4,5,4,4,5,5,4
5/22/2025 15:50:00,Male,35-49,Post-graduate Studies,At least once a week,7,7,7,7,7,7,7,7,7,6,6,5,7,4,7,7,5,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,4
5/22/2025 17:28:38,Female,50+,University,Never,5,5,4,6,6,6,5,4,3,4,3,2,5,4,5,3,2,3,5,3,3,2,4,4,4,5,4,4,5,4,2,3,1
5/22/2025 17:53:18,Female,35-49,Post-graduate Studies,Less than once a month,4,4,4,4,3,4,4,3,4,4,4,5,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,2,5,3,4,3,2
5/23/2025 10:28:09,Male,35-49,University,Nearly everyday,4,4,4,4,4,5,4,4,3,4,3,4,4,3,4,4,4,5,5,4,4,5,4,3,3,4,3,5,5,5,4,5,3
